账号,影响力层级,公开影响力信号,主要主题,类型,代表链接,核验备注
加拿大長安客,A,粉丝5.1万/获赞19.4万,综合政策/法语/雇主,个人评论型,https://www.douyin.com/video/7634365435031207067,公开索引快照
海叔在路上,A,粉丝约4.0万/获赞约15.0万,政策风险/省份比较/访谈,长内容评论型,https://www.douyin.com/video/7370936888212917567,公开索引快照
凯西在加拿大,A,粉丝2.5万/获赞5.8万,护理/保姆项目/材料,垂直项目型,https://www.douyin.com/video/7488479342293470522,公开索引快照
海龟高Kel（海外版）,A,粉丝1.5万/获赞10.1万,法语/曼省/EE/学校,个人政策评论,https://www.douyin.com/video/7589937569173982483,公开索引快照
Pat在加拿大,A,粉丝1.4万/获赞1.3万,项目百科/NB,目录型,https://www.douyin.com/video/7505227494472109321,公开索引快照
薇凯尔护理移民,A,粉丝1.3万/获赞12.1万,NOC33102/护理/雇主,机构项目型,https://www.douyin.com/video/7670421963386408211,名称由公开视频@字段提取
我住在小镇,A,粉丝1.3万/获赞4637,小镇生活/工签/雇主,落地生活型,https://www.douyin.com/video/7416643577377328403,完整账号名待页内确认
加拿大等风来,A,粉丝2.6万/获赞49.8万,加拿大生活/渥太华,生活方式型,https://www.douyin.com/video/7687367188092733555,非纯政策账号
绅移海外,A,粉丝1.1万/获赞5.4万,多国移民/加拿大,机构型,https://www.douyin.com/video/7362854636438424884,加拿大非唯一主线
吉吉－加拿大持牌移民｜留学顾问,B,粉丝1.2万/获赞1.1万,护工课程/NS/留学,账号自称顾问,https://www.douyin.com/shipin/7328557909422393395,持牌状态未独立核验
加拿大🇨🇦聪哥,B,粉丝6933/获赞3.9万,魁北克/法语/学校,教育生活型,https://www.douyin.com/video/7448036020928384268,公开索引快照
Alex 在加拿大的留学生活,B,粉丝5826/获赞7318,大龄申请/大西洋/双录,留学路径型,https://www.douyin.com/video/7666209484608210075,强路径主张需复核
多咨处,B,粉丝3351/获赞1.2万,TEF/TCF/EE,语言移民交叉型,https://www.douyin.com/shipin/7345851154296784922,公开索引快照
康联出国（移圈女掌柜）,B,粉丝1407/获赞6584,留学移民综合,机构人格化,https://www.douyin.com/video/7687057867506272655,公开索引快照
黛西在哈法,B,粉丝1291/获赞2296,哈法/NS/大西洋/EE,地区垂直型,https://www.douyin.com/video/7565994129105440059,公开索引快照
小七硕博咨询,B,粉丝1108/获赞1.4万,在线硕士/EE/PR,教育咨询型,https://www.douyin.com/video/7467372346194611513,低成本短周期强承诺样本
LeoY聊海外,B,粉丝757/获赞6169,海外选择/移民态度,泛海外评论型,https://www.douyin.com/video/7665747932578172200,非纯加拿大账号
伊丽莎白聊加拿大,B,粉丝557/获赞1314,家庭教育/公私校/移民,家庭教育型,https://www.douyin.com/video/7611011970247399818,公开索引快照
加鸿留学加拿大,C,695个公开视频/粉丝数未显示,签证/学签/资金,机构型,https://jingxuan.douyin.com/m/video/7636866828393074929,抖音精选索引
KPO加拿大移民 / KPOCanada,C,粉丝数未显示,加拿大移民咨询,机构顾问品牌,https://www.kpocanada.ca/team/kenny/,官网交叉确认抖音名称
鑫海移民,C,粉丝数未显示/抖音号xhym888888,多国移民含加拿大,北京机构型,https://www.douyin.com/user/MS4wLjABAAAAiriVnWOg2bUtaHhbcBnvHf-4ge8fjlj1eTSVTctD2Qw,公开主页索引
空格教育,C,粉丝数未显示/抖音号dyf4f6rn5gfg,教育留学移民,广东机构型,https://www.douyin.com/user/MS4wLjABAAAARoFjNC9B_AFr8q2zCm-TbkGisV4dkXQ9Ann0kjP9AiYfIRLW8SkF4XKgqg6KorNm,较早期公开主页索引
